日付,記念日タイトル,IT関連キーワード,Go言語,ツイート文例,記念日の説明
10-01,コーヒーの日,Java,Go言語,コーヒーの日。IT業界でコーヒーといえばJavaですが、最近は軽量で高速なGo言語の人気が高まっていますね。コーヒーを片手に、今日も`gofmt`でコードを綺麗にしましょう！ #コーヒーの日 #Go言語 #Java,全日本コーヒー協会が制定。国際協定によって、10月がコーヒーの新年度とされていることから。
10-02,豆腐の日,疎結合,インターフェース,「とう(10)ふ(2)」の語呂合わせ。豆腐がどんな料理にも合うように、インターフェースを介して疎に結合されたコンポーネントは、交換や再利用が容易で、柔軟なシステムを構築します。 #Go言語 #インターフェース #設計,「とう(10)ふ(2)」の語呂合わせから。
10-03,登山の日,スタックトレース,デバッグ,「と(10)ざん(3)」の語呂合わせ。バグが発生した時、エラー地点までの関数呼び出し履歴（スタックトレース）を「登山ルート」のように遡って、原因を突き止めるのがデバッグの第一歩です。 #デバッグ #スタックトレース,「と(10)ざん(3)」の語呂合わせから。
10-04,天使の日,linter,静的解析,「てん(10)し(4)」の語呂合わせ。コードの問題点を優しく指摘してくれる`golangci-lint`のような静的解析ツールは、品質を守る「守護天使」のような存在です。 #Go言語 #linter #静的解析,「てん(10)し(4)」の語呂合わせから。
10-05,時刻表記念日,スケジューラ,タスク管理,1894年に日本初の本格的な時刻表が出版。OSのスケジューラは、どのプロセスにCPUを割り当てるかという「時刻表」に従って、無数のタスクを効率的にさばいています。 #OS #スケジューラ,1894年に日本で初めての本格的な時刻表『汽車汽船旅行案内』が出版された日。
10-06,国際協力の日,OSS,コントリビュート,1954年に日本がコロンボ・プランに加盟し、国際協力への参加を始めた日。国境を越えてコードを共有し、協力し合うOSS活動は、まさに現代の「国際協力」です。 #OSS #GitHub #国際協力,1954年に日本がコロンボ・プランへの加盟を閣議決定し、政府開発援助（ODA）を開始した日。
10-07,盗難防止の日,暗号化,二要素認証,「とう(10)なん(7)」の語呂合わせ。データという資産を守るため、通信やDBの「暗号化」はもちろん、パスワード＋αの「二要素認証」で、アカウントの盗難を防ぎましょう。 #セキュリティ #暗号化 #2FA,「とう(10)なん(7)」の語呂合わせから。
10-08,木の日,木構造,ツリー探索,「十」と「八」を組み合わせると「木」になることから。ファイルシステムやDOMなど、ITの世界は「木構造」で溢れています。Goで木構造を探索するアルゴリズムを書いてみませんか？ #データ構造 #アルゴリズム #Go言語,漢字の「木」が「十」と「八」に分解できることから。
10-09,トラックの日,データ転送,スループット,「ト(10)ラック(9)」の語呂合わせ。ネットワーク上で単位時間あたりに運べるデータ量（スループット）は、トラックの積載量と速度のようです。太い回線と効率的なプロトコルが重要。 #ネットワーク #スループット,「ト(10)ラック(9)」の語呂合わせから。
10-10,目の愛護デー,ブルーライトカット,モニタ,「10」を横にすると眉と目に見えることから。長時間モニタと向き合うエンジニアにとって、目の健康は最重要課題。ブルーライトカットや適度な休憩を忘れずに。 #健康 #エンジニアライフ,「10」を横に倒すと眉と目に見えることから。
10-11,安全・安心なまちづくりの日,WAF (Web Application Firewall),セキュリティ対策,2005年に「安全・安心まちづくり全国大会」が開催された日。WebアプリをSQLインジェクションなどから守るWAFは、安全なサイバー空間を作るための防犯パトロール隊です。 #セキュリティ #WAF,2005年に「安全・安心まちづくり全国大会」が開催されたことにちなむ。
10-12,コロンブス・デー,新技術の探求,R&D,コロンブスが新大陸に到達した日。既知の技術（大陸）に安住せず、常に新しい言語やフレームワーク（新大陸）を探求する冒険心は、エンジニアの成長に不可欠です。 #学習 #キャリア,1492年にクリストファー・コロンブスがアメリカ大陸に到達したことを記念する日。
10-13,引っ越しの日,サーバー移行,データマイグレーション,明治天皇が京都から江戸城（東京）へ移った日。物理サーバーからクラウドへ、古いDBから新しいDBへ。サービスの「引っ越し（サーバー移行）」は、綿密な計画とリハーサルが成功の鍵です。 #サーバー移行 #クラウド,1868年に明治天皇が京都御所から江戸城（現在の皇居）へ移った日。
10-14,鉄道の日,オンプレミス,クラウド,1872年に新橋〜横浜間に日本初の鉄道が開業。自社で線路（サーバー）を保有・管理するのが「オンプレミス」。鉄道会社の線路を借りるのが「クラウド」。それぞれに利点があります。 #オンプレミス #クラウド #インフラ,1872年に新橋駅〜横浜駅間（現在の桜木町駅）に日本で最初の鉄道が開業した日。
10-15,きのこの日,マイクロサービス,サービスメッシュ,きのこが需要期である10月の中日であることから。森にきのこが群生するように、多数のマイクロサービスが連携する環境では、それらの通信を制御する「サービスメッシュ」が重要になります。 #マイクロサービス #サービスメッシュ #Istio,日本きのこセンターが制定。
10-16,世界食料デー,キャッシュ,CDN,国連が制定した食料問題について考える日。ユーザーの近くに食料（コンテンツ）を備蓄しておくのがCDN（コンテンツデリバリーネットワーク）。飢饉（サーバーダウン）時にも役立ちます。 #CDN #キャッシュ #パフォーマンス,国連食糧農業機関（FAO）の設立を記念する日。
10-17,沖縄そばの日,方言,DSL (ドメイン固有言語),沖縄生麺協同組合が制定。沖縄そばが沖縄でしか通用しないように、特定のドメイン（問題領域）だけで使える「方言」がDSL。Goでパーサーを書くのも面白いです。 #DSL #Go言語 #パーサー,1978年に公正取引委員会から「沖縄そば」の名称使用が正式に認められた日。
10-18,統計の日,データ分析,メトリクス,1879年に日本で初の生産統計が公表された日。サービスの利用状況（メトリクス）を収集・分析し、データに基づいた意思決定を行うことは、現代の開発に不可欠です。 #データ分析 #SRE,1879年に日本で初めての近代的な生産統計「府県物産表」に関する太政官布告が公布された日。
